,fid,long,lat,iso3,SSP1,SSP3,SSP5
3131,18099,39.5,-80.5,USA17342.0,-17.292494398999185,-5.116707010044548,-17.07347923947679
3132,18100,39.5,-79.5,USA17343.0,-16.246000710984713,0.0,-16.246000710984713
3133,18101,39.5,-78.5,USA17344.0,-24.679270762997973,-14.24713031735314,-24.307900067521945
3134,18102,39.5,-77.5,USA17345.0,-13.575081357508136,1.0692701069270107,-13.296141329614134
3135,18103,39.5,-76.5,USA17346.0,-23.183183183183182,-6.246246246246246,-22.16216216216216
3136,18104,39.5,-75.5,USA17347.0,-23.978215249325473,-7.219946037773559,-23.20375736984111
3137,18105,39.5,-74.5,USA17348.0,0.0,100.0,0.0
3138,18416,38.5,-123.5,USA17349.0,-19.956397172612824,-6.020745326027856,-19.669894182107157
3139,18417,38.5,-122.5,USA17350.0,-8.906358747976576,-2.4881340877508635,-8.795565769991581
3140,18418,38.5,-121.5,USA17351.0,-18.265603566529492,-5.273348193872885,-18.12700045724737
3141,18419,38.5,-120.5,USA17352.0,-11.224699904837696,-3.3134290150423222,-11.12341604848269
3142,18420,38.5,-119.5,USA17353.0,9.3071144859252,3.2172400488611603,9.33797290222805
3143,18421,38.5,-118.5,USA17354.0,-18.284747178825256,-5.348850910220499,-17.984821624632456
3144,18422,38.5,-117.5,USA17355.0,-17.127794491489276,-5.000654014797796,-16.886093370564783
3145,18423,38.5,-116.5,USA17356.0,-13.210704238134133,-3.802749795807242,-13.032489336600417
3146,18424,38.5,-115.5,USA17357.0,-14.64984794393759,-4.2603199788443735,-14.54713737934682
3147,18425,38.5,-114.5,USA17358.0,-10.08046894149183,-2.836699678228536,-9.948214090148161
3148,18426,38.5,-113.5,USA17359.0,20.209055089312564,6.620553575148884,20.161956144459758
3149,18427,38.5,-112.5,USA17360.0,5.964126476641862,2.1372938574762896,6.004576121430651
3150,18428,38.5,-111.5,USA17361.0,7.631833985592446,2.693575671844286,7.563530559611785
3151,18429,38.5,-110.5,USA17362.0,0.0,0.0,0.0
3152,18430,38.5,-109.5,USA17363.0,0.0,0.0,0.0
3153,18431,38.5,-108.5,USA17364.0,-10.62346253217315,-3.164098836408218,-10.60708124688832
3154,18432,38.5,-107.5,USA17365.0,-17.544062361323924,-5.244279219311245,-17.48160056265856
3155,18433,38.5,-106.5,USA17366.0,-12.898790790127547,-2.0341229087295014,-12.931919827729004
3156,18434,38.5,-105.5,USA17367.0,-6.838348300587445,6.438329022549949,-6.714647559989504
3157,18435,38.5,-104.5,USA17368.0,0.0,0.0,0.0
3158,18436,38.5,-103.5,USA17369.0,2.298705088583473,-0.8484541641376052,5.573619899566296
3159,18437,38.5,-102.5,USA17370.0,1.7624166532963692,-10.77841250415101,7.4329774968564255
3160,18438,38.5,-101.5,USA17371.0,-19.088184074737804,-27.159627599248203,-14.719123611376304
3161,18439,38.5,-100.5,USA17372.0,-3.0298852228403352,-23.267951915084083,3.7878061257113624
3162,18440,38.5,-99.5,USA17373.0,-12.48213019456758,-24.879888363486064,-5.828116171747316
3163,18441,38.5,-98.5,USA17374.0,-23.216957394295708,-26.92809398735319,-16.15389948055972
3164,18442,38.5,-97.5,USA17375.0,-100.0,-100.0,-100.0
3165,18443,38.5,-96.5,USA17379.0,38.22167477145119,15.302531076830912,57.00218233167163
3166,18444,38.5,-95.5,USA17380.0,100.0,100.0,100.0
3167,18445,38.5,-94.5,USA17381.0,0.0,0.0,0.0
3168,18446,38.5,-93.5,USA17382.0,37.972463790344435,13.511326860841423,58.25715629585321
3169,18447,38.5,-92.5,USA17383.0,22.345788078781894,-2.9257392298498157,44.06277607441667
3170,18448,38.5,-91.5,USA17384.0,3646.1077844311376,3626.946107784431,3662.874251497006
3171,18449,38.5,-90.5,USA17385.0,3928.768382352941,3901.9301470588234,3955.8823529411766
3172,18450,38.5,-89.5,USA17386.0,59.005275056518464,55.76488319517709,106.48078372268274
3173,18451,38.5,-88.5,USA17387.0,29.050410316529895,4.248534583821805,52.525205158264946
3174,18452,38.5,-87.5,USA17388.0,32.31181710727362,7.64407414881656,53.266353388877675
3175,18453,38.5,-86.5,USA17389.0,0.7479799082769164,-27.675256606245906,25.87901288490937
3176,18454,38.5,-85.5,USA17695.0,29.04850746268657,5.475746268656716,49.31902985074627
3177,18455,38.5,-84.5,USA17696.0,18.824914383561644,-8.315496575342467,42.81892123287671
3178,18456,38.5,-83.5,USA17697.0,3.9402080319625266,-28.277192257353448,33.52621064958325
3179,18457,38.5,-82.5,USA17698.0,31.163072902081584,6.143626124023772,52.556084507918726
3180,18458,38.5,-81.5,USA17699.0,23.260484200870224,-1.2743433041193024,44.51772056180193
3181,18459,38.5,-80.5,USA17700.0,0.0,0.0,0.0
3182,18460,38.5,-79.5,USA17701.0,0.0,0.0,0.0
3183,18461,38.5,-78.5,USA17702.0,20.02605135839226,-7.774469668775586,44.85671752884257
3184,18462,38.5,-77.5,USA17703.0,0.0,0.0,0.0
3185,18463,38.5,-76.5,USA17704.0,0.0,0.0,0.0
3186,18464,38.5,-75.5,USA17705.0,0.0,0.0,0.0
3187,18777,37.5,-122.5,USA17706.0,0.0,0.0,0.0
3188,18778,37.5,-121.5,USA17707.0,0.0,0.0,0.0
3189,18779,37.5,-120.5,USA17708.0,0.0,0.0,0.0
3190,18780,37.5,-119.5,USA17709.0,0.0,0.0,0.0
3191,18781,37.5,-118.5,USA17710.0,100.0,0.0,100.0
3192,18782,37.5,-117.5,USA17711.0,0.0,0.0,0.0
3193,18783,37.5,-116.5,USA17712.0,0.0,0.0,0.0
3194,18784,37.5,-115.5,USA17713.0,31.852504820135643,6.0655072452512195,53.79135462800979
3195,18785,37.5,-114.5,USA17714.0,10.074160114367405,-20.733559685489634,37.66194603288063
3196,18786,37.5,-113.5,USA17715.0,13.747556472632494,-16.352628149435272,40.46345569070374
3197,18787,37.5,-112.5,USA17716.0,16.84419172706523,-12.173146998758659,42.36675609658431
3198,18788,37.5,-111.5,USA17717.0,0.0,0.0,0.0
3199,18789,37.5,-110.5,USA17718.0,0.0,0.0,0.0
3200,18790,37.5,-109.5,USA17719.0,0.0,0.0,0.0
3201,18791,37.5,-108.5,USA17720.0,21.56365467348888,-100.0,45.87334967308162
3202,18792,37.5,-107.5,USA17721.0,15.126929733643447,-100.0,40.61801068203346
3203,18793,37.5,-106.5,USA17722.0,22.461335944228143,-4.671449668780924,46.07596263102228
3204,18794,37.5,-105.5,USA17723.0,13.390898041010908,-15.53668303103969,38.93247459838882
3205,18795,37.5,-104.5,USA17724.0,12.503166078724318,-16.412585025273568,38.021209974341
3206,18796,37.5,-103.5,USA17725.0,19.868445899162836,-8.057295272864605,44.28463523635677
3207,18797,37.5,-102.5,USA17726.0,27.53260358378931,1.090963365146058,50.23190715828544
3208,18798,37.5,-101.5,USA17727.0,29.786185707986483,3.69716455506383,52.052363703876935
3209,18799,37.5,-100.5,USA17728.0,11.359998044750768,-19.0991189158143,38.51107770893671
