,fid,lat,long,iso3,2015
189,11393,58.5,53.5,RUS11393.0,0.022139920094120587
190,11394,58.5,54.5,RUS11394.0,0.0503350065940598
191,11395,58.5,55.5,RUS11395.0,0.061011134679766044
192,11396,58.5,56.5,RUS11396.0,0.045405543211111524
193,11397,58.5,57.5,RUS11397.0,0.020702433435178278
194,11398,58.5,58.5,RUS11398.0,0.005431599133674707
195,11399,58.5,59.5,RUS11399.0,0.005362678540437747
196,11400,58.5,60.5,RUS11400.0,0.005254374751065381
197,11401,58.5,61.5,RUS11401.0,0.016344026396193378
198,11402,58.5,62.5,RUS11402.0,0.00022317144476729914
199,11403,58.5,63.5,RUS11403.0,0.0005546466789069641
200,11404,58.5,64.5,RUS11404.0,0.0160355246931327
201,11405,58.5,65.5,RUS11405.0,0.0
202,11406,58.5,66.5,RUS11406.0,0.0
203,11407,58.5,67.5,RUS11407.0,0.09191709784702569
204,11408,58.5,68.5,RUS11408.0,0.1113559870728597
205,11409,58.5,69.5,RUS11409.0,0.328019358678783
206,11415,58.5,75.5,RUS11415.0,0.20927902233053478
207,11416,58.5,76.5,RUS11416.0,0.0
208,11417,58.5,77.5,RUS11417.0,0.14907196123853325
209,11418,58.5,78.5,RUS11418.0,0.36212192459903314
210,11419,58.5,79.5,RUS11419.0,0.5160150454311423
211,11420,58.5,80.5,RUS11420.0,0.004243539383589967
212,11421,58.5,81.5,RUS11421.0,0.03857255868161863
213,11422,58.5,82.5,RUS11422.0,1.9913095726634409
214,11423,58.5,83.5,RUS11423.0,1.9785953641777274
215,11424,58.5,84.5,RUS11424.0,0.0
216,11425,58.5,85.5,RUS11425.0,0.8142442981665021
217,11426,58.5,86.5,RUS11426.0,0.0
218,11428,58.5,88.5,RUS11428.0,0.5828516112059371
219,11430,58.5,90.5,RUS11430.0,0.0
220,11431,58.5,91.5,RUS11431.0,0.000955042506283589
221,11432,58.5,92.5,RUS11432.0,0.10944590206029252
222,11433,58.5,93.5,RUS11433.0,0.02948160424036247
223,11436,58.5,96.5,RUS11436.0,0.3259386131496291
