,fid,lat,long,UN_cur,NCP_cur,population
7519,32257,0.5,37.5,0.2718957011872612,0.8051548401514689,1647
7520,32258,0.5,38.5,318.1541317069352,0.1426046093304952,7306
7521,32259,0.5,39.5,584.9041994893669,0.1589403102795283,36619
7522,32260,0.5,40.5,48.950937023482744,0.16885601977507272,9601
7523,32614,-0.5,34.5,103.499206089626,0.8379456202189127,26586
7524,32615,-0.5,35.5,666.1064224671136,0.4994560678799947,84620
7525,32616,-0.5,36.5,150.80391703968414,0.8927814165751139,15695
7526,32617,-0.5,37.5,733.1757607510796,0.7123565872510275,0
7527,32618,-0.5,38.5,1110.88138387827,0.8483079274495443,47937
7528,32619,-0.5,39.5,1.2092681724662855,0.9857929348945618,49926
7529,32620,-0.5,40.5,0.034788114657691,0.9988625248273214,62843
7530,32621,-0.5,41.5,168.40902119245933,0.9556191364924113,103733
7531,32973,-1.5,33.5,3988.7208343109105,0.7873019774754842,174271
7532,32974,-1.5,34.5,313.9541518181192,0.8620335062344869,337639
7533,32975,-1.5,35.5,29.908642602612073,0.9863376021385193,263177
7534,32976,-1.5,36.5,595.4237865946383,0.6788028875986735,405014
7535,32977,-1.5,37.5,4935.747629369028,0.19362925986448923,1660088
7536,32978,-1.5,38.5,4424.813432489576,0.6465547879536947,119053
7537,32979,-1.5,39.5,2.622630518943577,0.46717919905980426,116421
7538,32980,-1.5,40.5,11.868718650309594,0.5255255699157715,694521
7539,32981,-1.5,41.5,0.0,0.6666667064030966,258157
7540,33335,-2.5,35.5,0.0,0.666666567325592,203343
7541,33336,-2.5,36.5,0.0,0.9999999205271403,95038
7542,33337,-2.5,37.5,0.0,0.6666666467984518,31947
7543,33338,-2.5,38.5,0.0,0.6666666666666666,43786
7544,33339,-2.5,39.5,0.0,0.6666667461395264,32279
7545,33340,-2.5,40.5,0.0,1.0000000198682149,42218
7546,33697,-3.5,37.5,1.768663961352539,0.9698110421498617,148603
7547,33698,-3.5,38.5,0.0,0.9999999403953552,140174
7548,33699,-3.5,39.5,0.042775110044724785,0.48239540060361225,162676
7549,33700,-3.5,40.5,0.15072601901576918,0.9963953693707784,168374
7550,34058,-4.5,38.5,0.005366496858382603,0.9999770124753317,627805
7551,34059,-4.5,39.5,2.788624139389986,0.9520839850107828,260624
7552,31148,3.5,8.5,5.002293025923354,0.9664528767267863,236333
7553,31509,2.5,9.5,1.397324509940524,0.9907879034678141,216015
7554,31510,2.5,10.5,0.08870225577811436,0.9991755684216818,160204
7555,31156,3.5,16.5,0.4694142937546512,0.995309074719747,94433
7556,31515,2.5,15.5,0.10280836619281893,0.9928579330444336,81766
7557,31876,1.5,16.5,200.10296638760863,0.872916042804718,322141
7558,32234,0.5,14.5,1655.9769388087618,0.17499631891647974,496431
7559,32235,0.5,15.5,3519.5723040007542,0.05525906508167585,497618
7560,32236,0.5,16.5,1810.2286394736263,0.05386941383282343,107296
7561,32593,-0.5,13.5,460.9227092353529,0.08764249210556348,206377
7562,32594,-0.5,14.5,2398.940361219437,0.017831609894831974,455458
7563,32595,-0.5,15.5,323.8685430096943,0.059975175807873406,725777
7564,32596,-0.5,16.5,3.085274251779607,0.8709231416384379,176392
7565,32954,-1.5,14.5,540.2028426544031,0.010277738872294625,84840
7566,32955,-1.5,15.5,316.7627392727375,0.19187447925408682,45184
7567,33311,-2.5,11.5,7819.525260215091,0.17240933577219644,0
7568,33312,-2.5,12.5,7.317627486239563,0.9733519951502482,3813
7569,33313,-2.5,13.5,30.946476285765897,0.8956298232078552,32196
7570,33314,-2.5,14.5,0.0,1.0,4613
7571,33315,-2.5,15.5,20.61360428436832,0.8340667883555094,5810416
7572,33671,-3.5,11.5,40.80280365887499,0.8653674324353536,4227931
7573,33672,-3.5,12.5,1064.2690579902608,0.031353074902047716,749973
7574,33673,-3.5,13.5,20.13142517281791,0.23334391911824545,203582
7575,33674,-3.5,14.5,0.0,1.0000000794728596,43498
7576,34031,-4.5,11.5,0.0,0.6666667461395264,18058
7577,31170,3.5,30.5,0.0,0.9999999205271403,19566
7578,31171,3.5,31.5,0.8872867014212856,0.8561002612113953,5625
7579,31172,3.5,32.5,0.0,0.0,35248
7580,31173,3.5,33.5,0.0,0.0,51652
7581,31530,2.5,30.5,0.00012754411564504754,0.35187991460164386,7126
7582,31531,2.5,31.5,10.808304183228666,0.01200572494417429,25705
7583,31532,2.5,32.5,200.42879808728216,0.013904402342935404,67234
7584,31533,2.5,33.5,145.97711614197934,0.0070047988556325436,221539
7585,31890,1.5,30.5,11.499103472038193,0.09367844586571057,8160
7586,31891,1.5,31.5,1.2573059576485202,0.20998040835062662,1089
7587,31892,1.5,32.5,10.085026503933209,0.5258774161338806,42821
7588,31893,1.5,33.5,6.6920208290841,0.6513322393099467,13598
7589,32249,0.5,29.5,12.503112987520117,0.9832459290822347,11833
7590,32250,0.5,30.5,7135.432578724125,0.6791149973869324,0
7591,32251,0.5,31.5,2.2007973861895676,0.992436945438385,15971
7592,32252,0.5,32.5,237.1407567825398,0.6716704169909159,0
7593,32609,-0.5,29.5,1027.2642318528724,0.18181423842906952,0
7594,31511,2.5,11.5,0.02134755298154957,0.9999193151791891,9933
7595,31512,2.5,12.5,1241.922857207055,0.647053043047587,103507
7596,31870,1.5,10.5,985.1057278973741,0.5755883653958639,0
7597,31871,1.5,11.5,77.66242036595263,0.8535488446553549,27514
7598,32229,0.5,9.5,20147.244919632085,0.4586665630340576,0
7599,32230,0.5,10.5,15108.408927802191,0.6056413451830546,0
7600,32231,0.5,11.5,1168.8780386300348,0.8300093015034994,148968
7601,32232,0.5,12.5,723.6627246587941,0.4200766185919444,60463
7602,32589,-0.5,9.5,2961.140701926794,0.791127065817515,79734
7603,32590,-0.5,10.5,45574.779824317266,0.5311161279678345,0
7604,32591,-0.5,11.5,1948.2357563675248,0.5351894497871399,243857
7605,32592,-0.5,12.5,847.0282553546307,0.5630845228830973,417197
7606,32949,-1.5,9.5,2162.4386591466305,0.698237419128418,1106221
7607,32950,-1.5,10.5,3858.005406243427,0.617549886306127,189260
7608,32951,-1.5,11.5,0.5218187784120075,0.4887092510859172,327074
7609,32953,-1.5,13.5,1.1171064693847035,0.6311916510264078,515503
7610,33310,-2.5,10.5,0.20796728714074053,0.6601104736328125,547528
7611,33670,-3.5,10.5,1.448535446880063,0.0003893470275215922,487418
7612,31780,1.5,-79.5,5.734034798944504,0.03068109353383382,263187
7613,31781,1.5,-78.5,0.0,0.6666666666666666,52836
7614,32139,0.5,-80.5,0.0006909903741887051,0.6658321619033813,75861
7615,32140,0.5,-79.5,0.0,0.6666667064030966,78549
7616,32141,0.5,-78.5,0.0,0.6666666269302368,25445
7617,32142,0.5,-77.5,0.0,1.0,15893
