,fid,long,lat,iso3,SSP1,SSP3,SSP5
5558,26455,16.5,-4.5,SDN29730.0,1.586493150644261,-1.360431635536018,-9.440346591306982
5559,26456,16.5,-3.5,SDN29731.0,8.454660478496006,-9.085692132857488,1.4376849020206313
5560,26457,16.5,-2.5,SDN30087.0,1.5161570683848962,-5.403427932043221,-16.31098906762676
5561,26458,16.5,-1.5,SDN30089.0,11.255465127426167,12.026870601353385,10.062107655784754
5562,26459,16.5,-0.5,SDN30090.0,3.9736429924275285e-06,-5.9604644775390625e-06,-1.9868214962137642e-06
5563,26460,16.5,0.5,SDN30091.0,85.0010551954828,2.622522918785598,-1.0975156443941718
5564,26461,16.5,1.5,SDN30092.0,95.84805411157772,10.359634878256038,0.22935481983541098
5565,26462,16.5,2.5,SDN30093.0,101.54419132866614,11.49171815918833,2.1031136492684888
5566,26463,16.5,3.5,SDN30448.0,56.61478296184646,5.702072722316241,0.995328311788124
5567,26464,16.5,4.5,SDN30449.0,-0.09831269801786242,-0.08414826990448122,-0.08414826990448122
5568,26815,15.5,-4.5,SDN30450.0,,,
5569,26816,15.5,-3.5,SDN30451.0,,,
5570,26817,15.5,-2.5,SDN30452.0,,,
5571,26818,15.5,-1.5,SDN30453.0,,,
5572,26819,15.5,-0.5,SDN30811.0,5.025710636443844,-50.463466553698936,-20.313647202216792
5573,26820,15.5,0.5,SDN30812.0,18.453005493326586,-63.34146497383378,-61.01596858081724
5574,26821,15.5,1.5,DOM25308.0,2.6095299214577503,-21.762006898385945,-21.63445600414175
5575,26822,15.5,2.5,DOM25309.0,-1.391690118482581,-17.67837628378549,-17.783264942077274
5576,26823,15.5,3.5,DOM25310.0,-26.129131115072894,110.84380128991025,108.5620275242063
5577,27169,14.5,-10.5,DOM25667.0,0.0,438.1804008253836,438.1804008253836
5578,27170,14.5,-9.5,DOM25668.0,0.0,52.25469227000289,52.25469227000289
5579,27171,14.5,-8.5,DOM25669.0,0.1538524348929642,-34.55586636605633,-34.535871819721436
5580,27172,14.5,-7.5,DOM25670.0,-7.382680721627548,-67.9973155020329,-68.01597022989317
5581,27173,14.5,-6.5,DOM25671.0,-3.521129440651559,-45.21248831687672,-45.35233421980151
5582,27174,14.5,-5.5,DOM26028.0,0.31940652523956486,-87.15343973296945,-87.149137671178
5583,27175,14.5,-4.5,PHL25501.0,3.3887860521362834,-43.87191143213855,-44.37691025888776
5584,27176,14.5,-3.5,PHL25860.0,-0.0007937884383565049,25.360250699278,25.36088433741738
5585,27177,14.5,-2.5,PHL25861.0,0.5543605403170415,14.852846626334767,14.914300637558817
5586,27178,14.5,-1.5,PHL25862.0,0.17137085264475196,9.950776936445315,9.978598581793046
5587,27179,14.5,-0.5,PHL26220.0,1.0852901989795782,-2.829475566926685,-2.6721520545857436
5588,27180,14.5,0.5,PHL26221.0,0.3818223092391803,-4.807275775745739,-4.764471550661499
5589,27527,13.5,-12.5,PHL26222.0,-0.9110654527310875,-2.537613536696164,-2.729122710298034
5590,27528,13.5,-11.5,PHL26579.0,0.0,93.85403373843695,93.85403373843695
5591,27529,13.5,-10.5,PHL26580.0,6.777785480671494,-32.21829149205865,-32.21829149205865
5592,27530,13.5,-9.5,PHL26581.0,0.9551573813610449,-23.853288408370915,-23.846838721190974
5593,27531,13.5,-8.5,PHL26582.0,0.15454797865162884,-4.428745435824685,-4.338398305610024
5594,27532,13.5,-7.5,PHL26939.0,1.4891933785664102,10.360668681000647,10.509638106859981
5595,27533,13.5,-6.5,PHL26940.0,2.0512700736236167,7.031583141993296,7.269688480781554
5596,27534,13.5,-5.5,PHL26941.0,-0.14670887734358837,1.6182693838393107,1.5870016659381796
5597,27535,13.5,-4.5,PHL27300.0,-4.737461325048772,-11.148773933673102,-11.45250131817188
5598,27536,13.5,-3.5,PHL27301.0,-1.821110121617891,31.838590700258273,31.55217588034023
5599,27537,13.5,-2.5,PHL27302.0,-0.5819197748523659,-3.7839867258801054,-3.817983238946357
5600,27892,12.5,-7.5,PHL27303.0,-0.5351805862476845,-6.200847954766182,-4.225103241116336
5601,27893,12.5,-6.5,PHL27304.0,5.000701145915715,-97.20535703241836,-97.20653265628104
5602,27894,12.5,-5.5,PHL27660.0,16.246016279326607,-91.4041529278651,-91.3703623439359
5603,27895,12.5,-4.5,PHL27661.0,15.703870677807192,-64.98939405173435,-64.98304559964936
5604,28252,11.5,-7.5,PHL27662.0,16.437867325963033,-97.01603840334293,-97.10456065847495
5605,28253,11.5,-6.5,PHL27663.0,12.09686792482513,-100.0,-100.0
5606,28254,11.5,-5.5,PHL27664.0,123.15157065083622,-92.24084283257949,-92.24009864777081
5607,28255,11.5,-4.5,PHL28019.0,118.0727685327273,-32.19547375976226,-32.19193519943493
5608,26465,16.5,5.5,PHL28020.0,155.79892643964936,-75.83847119233823,-75.83689855173449
5609,26466,16.5,6.5,PHL28021.0,5575.855579391221,-100.0,-99.99999999999893
5610,26824,15.5,4.5,PHL28022.0,-77.27024025960432,-97.30737315089041,-96.25836151528439
5611,26825,15.5,5.5,PHL28023.0,-74.44399228997582,-80.3515394843325,-75.31059944521374
5612,26826,15.5,6.5,PHL28024.0,-63.09340640235727,-79.24061087718903,-77.75924815871129
5613,26827,15.5,7.5,PHL28025.0,-21.000449120093535,-35.0776918872191,-9.380645935807628
5614,26828,15.5,8.5,PHL28379.0,20.11273617102819,-1.7869251643958135,20.552037507331786
5615,27181,14.5,1.5,PHL28380.0,-1.3626963228095352,-84.45178653017116,-46.490494106823526
5616,27182,14.5,2.5,PHL28381.0,-25.529311822337043,-94.07912219013684,-77.45828280814354
