,fid,long,lat,iso3,2015
192,11396,58.5,56.5,RUS11396.0,0.0
193,11397,58.5,57.5,RUS11397.0,0.0
194,11398,58.5,58.5,RUS11398.0,0.0
195,11399,58.5,59.5,RUS11399.0,0.0
196,11400,58.5,60.5,RUS11400.0,0.0
197,11401,58.5,61.5,RUS11401.0,0.0
198,11402,58.5,62.5,RUS11402.0,33.33333333333333
199,11403,58.5,63.5,RUS11403.0,33.02740454673767
200,11404,58.5,64.5,RUS11404.0,64.2018755276998
201,11405,58.5,65.5,RUS11405.0,31.383922696113586
202,11406,58.5,66.5,RUS11406.0,41.1163608233134
203,11407,58.5,67.5,RUS11407.0,33.33333333333333
204,11408,58.5,68.5,RUS11408.0,100.0
205,11409,58.5,69.5,RUS11409.0,93.93989642461142
206,11415,58.5,75.5,RUS11415.0,22.11457391579946
207,11416,58.5,76.5,RUS11416.0,6.14866279065609
208,11417,58.5,77.5,RUS11417.0,22.438713908195496
209,11418,58.5,78.5,RUS11418.0,99.99999602635702
210,11419,58.5,79.5,RUS11419.0,99.70719019571939
211,11420,58.5,80.5,RUS11420.0,99.85372026761374
212,11421,58.5,81.5,RUS11421.0,58.25476050376892
213,11422,58.5,82.5,RUS11422.0,92.97869801521301
214,11423,58.5,83.5,RUS11423.0,35.853343208630875
215,11424,58.5,84.5,RUS11424.0,29.339230060577393
216,11425,58.5,85.5,RUS11425.0,41.72527988751729
217,11426,58.5,86.5,RUS11426.0,31.96115493774414
218,11428,58.5,88.5,RUS11428.0,50.13121763865153
219,11430,58.5,90.5,RUS11430.0,85.85477868715921
220,11431,58.5,91.5,RUS11431.0,99.99999403953552
221,11432,58.5,92.5,RUS11432.0,99.69626069068909
222,11433,58.5,93.5,RUS11433.0,99.2193321386973
223,11436,58.5,96.5,RUS11436.0,98.45422903696695
224,11437,58.5,97.5,RUS11437.0,76.90822879473367
225,11438,58.5,98.5,RUS11438.0,80.37694295247397
226,11439,58.5,99.5,RUS11439.0,89.5767867565155
227,11440,58.5,100.5,RUS11440.0,98.44099680582681
228,11441,58.5,101.5,RUS11441.0,84.85762476921082
229,11728,57.5,28.5,RUS11728.0,53.20595105489095
230,11729,57.5,29.5,RUS11729.0,39.40557241439819
231,11730,57.5,30.5,RUS11730.0,96.53060038884482
232,11731,57.5,31.5,RUS11731.0,84.03489192326865
233,11732,57.5,32.5,RUS11732.0,78.37193012237549
234,11733,57.5,33.5,RUS11733.0,99.62085485458374
235,11734,57.5,34.5,RUS11734.0,93.60516667366028
236,11735,57.5,35.5,RUS11735.0,80.26038209597269
237,11736,57.5,36.5,RUS11736.0,47.14316427707672
238,11737,57.5,37.5,RUS11737.0,85.45078237851462
239,11738,57.5,38.5,RUS11738.0,62.62927055358887
240,11739,57.5,39.5,RUS11739.0,94.24296617507935
241,11740,57.5,40.5,RUS11740.0,99.92153644561768
242,11741,57.5,41.5,RUS11741.0,99.4134763876597
243,11742,57.5,42.5,RUS11742.0,97.17511932055154
244,11743,57.5,43.5,RUS11743.0,85.3764514128367
245,11744,57.5,44.5,RUS11744.0,99.67740178108215
246,11745,57.5,45.5,RUS11745.0,93.82954041163126
247,11746,57.5,46.5,RUS11746.0,67.13756124178568
248,11747,57.5,47.5,RUS11747.0,94.2475457986196
249,11748,57.5,48.5,RUS11748.0,96.75071239471436
250,11749,57.5,49.5,RUS11749.0,70.96154491106668
251,11750,57.5,50.5,RUS11750.0,25.78062266111374
252,11751,57.5,51.5,RUS11751.0,92.38545298576355
253,11752,57.5,52.5,RUS11752.0,93.84861191113791
254,11753,57.5,53.5,RUS11753.0,86.02790037790933
255,11754,57.5,54.5,RUS11754.0,87.63868610064188
256,11755,57.5,55.5,RUS11755.0,99.68164364496866
257,11756,57.5,56.5,RUS11756.0,0.0
258,11757,57.5,57.5,RUS11757.0,99.8800834019979
259,11758,57.5,58.5,RUS11758.0,98.04080327351889
260,11759,57.5,59.5,RUS11759.0,99.99999403953552
261,11760,57.5,60.5,RUS11760.0,93.64937543869019
262,11761,57.5,61.5,RUS11761.0,83.57752958933511
263,11762,57.5,62.5,RUS11762.0,100.00000397364299
264,11763,57.5,63.5,RUS11763.0,99.9999980131785
265,11764,57.5,64.5,RUS11764.0,100.0
266,11765,57.5,65.5,RUS11765.0,0.0
267,11766,57.5,66.5,RUS11766.0,0.0
268,11767,57.5,67.5,RUS11767.0,0.0
269,11768,57.5,68.5,RUS11768.0,0.0
270,11769,57.5,69.5,RUS11769.0,0.0
271,11770,57.5,70.5,RUS11770.0,0.0
272,11771,57.5,71.5,RUS11771.0,0.0
273,11772,57.5,72.5,RUS11772.0,0.0
274,11773,57.5,73.5,RUS11773.0,0.0
275,11774,57.5,74.5,RUS11774.0,0.0
276,11775,57.5,75.5,RUS11775.0,0.0
277,11776,57.5,76.5,RUS11776.0,0.0
278,11777,57.5,77.5,RUS11777.0,0.0
279,11778,57.5,78.5,RUS11778.0,0.0
