,fid,lat,long,UN_cur_perc,NCP_cur
356,12143,56.5,83.5,2.2401842418077064e-07,0.8325842221577963
357,12144,56.5,84.5,0.0,1.0000000596046448
358,12145,56.5,85.5,0.0,1.0
359,12146,56.5,86.5,0.0,1.0000000198682149
360,12147,56.5,87.5,3.987173819813385e-12,0.9999927481015524
361,12148,56.5,88.5,1.3809396266092875e-13,0.9999996821085612
362,12149,56.5,89.5,5.536918092741245e-11,0.9997593959172567
363,12150,56.5,90.5,1.7103759024935949e-09,0.9985979398091634
364,12151,56.5,91.5,4.077772835225274e-11,0.9999227921168009
365,12152,56.5,92.5,0.0,1.00000003973643
366,12153,56.5,93.5,0.0,1.0
367,12154,56.5,94.5,0.0,0.6666666666666666
368,12155,56.5,95.5,0.0,1.0
369,12156,56.5,96.5,0.0,0.0
370,12157,56.5,97.5,0.0,0.0
371,12159,56.5,99.5,1.3765231161434458e-11,0.9999579787254333
372,12448,55.5,28.5,0.0,0.9999999403953552
373,12449,55.5,29.5,0.0,1.0
374,12450,55.5,30.5,0.0,0.9999999602635702
375,12451,55.5,31.5,1.7958216221791597e-08,0.9925993879636129
376,12452,55.5,32.5,1.5395446571841409e-06,0.862011730670929
377,12453,55.5,33.5,0.0,1.0
378,12454,55.5,34.5,0.0,0.0
379,12455,55.5,35.5,0.0,0.0
380,12456,55.5,36.5,0.0,1.0
381,12457,55.5,37.5,0.0,1.0000000794728596
382,12458,55.5,38.5,3.868716323717996e-08,0.9808908700942993
383,12459,55.5,39.5,5.64124453536758e-07,0.7474411129951477
384,12460,55.5,40.5,6.169513620141524e-07,0.794743816057841
385,12461,55.5,41.5,6.095674440366863e-09,0.9821973641713461
386,12462,55.5,42.5,0.0,0.0
387,12463,55.5,43.5,0.0,1.0000000794728596
388,12464,55.5,44.5,0.0,1.0
389,12465,55.5,45.5,5.434731501033765e-09,0.959383229414622
390,12466,55.5,46.5,0.0,1.0
391,12467,55.5,47.5,1.4737663695004098e-05,0.25384849309921265
392,12468,55.5,48.5,0.00021668433066632215,0.31323673327763873
393,12469,55.5,49.5,0.0003385057338812982,0.3430885076522827
394,12470,55.5,50.5,0.0006015980225269878,0.2204146683216095
395,12471,55.5,51.5,0.0007083675483655508,0.24779215455055237
396,12472,55.5,52.5,2.049535149233327e-05,0.3705848654111226
397,12473,55.5,53.5,0.0,0.3333333333333333
398,12474,55.5,54.5,0.0,0.3333333333333333
399,12475,55.5,55.5,4.729985291006575e-09,0.9492784738540649
400,12476,55.5,56.5,5.9533053134754594e-06,0.12202656517426173
401,12477,55.5,57.5,0.06598699124722814,0.15045579771200815
402,12478,55.5,58.5,0.08079069198057834,0.05730534096558889
403,12479,55.5,59.5,0.027140884290386785,0.20869491000970206
404,12480,55.5,60.5,0.020236920122127137,0.32441572348276776
405,12481,55.5,61.5,0.0128082989092889,0.2425695757071177
406,12482,55.5,62.5,0.009773751736879782,0.2629247158765793
407,12483,55.5,63.5,0.0036745822501497187,0.2527264207601547
408,12484,55.5,64.5,0.0019961717449672655,0.41151318947474164
409,12485,55.5,65.5,1.357903377129554e-07,0.32662010192871094
410,12486,55.5,66.5,0.0007516953659045008,0.5791078408559164
411,12487,55.5,67.5,0.00634955303842958,0.6588939428329468
412,12488,55.5,68.5,0.0084049122438164,0.6970304648081461
413,12489,55.5,69.5,0.02614838636405271,0.4468591312567393
414,12490,55.5,70.5,0.02043479274483011,0.4195874234040578
415,12491,55.5,71.5,0.0011344588685654562,0.8190952738126119
416,12492,55.5,72.5,0.0010266451751130903,0.9022798339525858
417,12493,55.5,73.5,0.0013157524187084333,0.9074333906173706
418,12494,55.5,74.5,1.9389805891732646e-06,0.9792030056317648
419,12495,55.5,75.5,3.775005881997477e-06,0.8139723340670267
420,12496,55.5,76.5,2.524432377533244e-06,0.8423827091852824
421,12497,55.5,77.5,0.0,1.0000000794728596
422,12498,55.5,78.5,7.967108177276253e-09,0.9813270568847656
423,12499,55.5,79.5,9.683612088412182e-09,0.9880996346473694
424,12500,55.5,80.5,3.7507123694614625e-07,0.9725853204727173
425,12501,55.5,81.5,0.0021354345698461337,0.8443691929181417
426,12502,55.5,82.5,0.0008015643509742653,0.91608198483785
427,12503,55.5,83.5,0.004172090588117075,0.7063673933347067
428,12504,55.5,84.5,0.004435596898746565,0.4679731031258901
429,12505,55.5,85.5,0.030297363824438855,0.09712006400028865
430,12506,55.5,86.5,0.021846388410048236,0.10501064856847127
431,12507,55.5,87.5,0.0037859943855146974,0.42532703280448914
432,12508,55.5,88.5,0.0017315082716944268,0.4876471161842346
433,12509,55.5,89.5,0.006839086316254546,0.25803087651729584
434,12510,55.5,90.5,0.0014729072081301185,0.43385141094525653
