,lat1,long1,lat2,long2,lat3,long3,lat4,long4,lat5,long5,NCP_cur,pop,PN,country,PNpop_c_norm
355,-70.0,59.0,-71.0,59.0,-71.0,60.0,-70.0,60.0,-70.0,59.0,89.63662823982746,0.0,1184491.125,Canada,0.002511303228366503
356,-69.0,59.0,-70.0,59.0,-70.0,60.0,-69.0,60.0,-69.0,59.0,88.60151804028816,9.0,298159.90625,Canada,0.0006325369373712317
357,-65.0,59.0,-66.0,59.0,-66.0,60.0,-65.0,60.0,-65.0,59.0,84.50596912908513,0.0,641995.875,Canada,0.0013611299227636493
358,-64.0,59.0,-65.0,59.0,-65.0,60.0,-64.0,60.0,-64.0,59.0,81.45357748616185,0.0,2488318.5,Canada,0.0052756176474130145
359,-63.0,59.0,-64.0,59.0,-64.0,60.0,-63.0,60.0,-63.0,59.0,80.73420254811766,0.0,79139.9140625,Canada,0.00016778878075410136
361,15.0,59.0,14.0,59.0,14.0,60.0,15.0,60.0,15.0,59.0,88.66890341180077,71.0,21270.26953125,Sweden,4.808428837213636e-05
362,16.0,59.0,15.0,59.0,15.0,60.0,16.0,60.0,16.0,59.0,91.32209012091297,3.0,7834.55908203125,Sweden,1.675351089661393e-05
364,24.0,59.0,23.0,59.0,23.0,60.0,24.0,60.0,24.0,59.0,90.3095840112021,511.0,143410.5625,Estonia,0.0003254733351730526
365,25.0,59.0,24.0,59.0,24.0,60.0,25.0,60.0,25.0,59.0,90.04879713623917,50188.0,1282439.5,Estonia,0.004821056548384376
366,26.0,59.0,25.0,59.0,25.0,60.0,26.0,60.0,26.0,59.0,89.352611832648,40109.0,1696253.875,Estonia,0.0052762839730662765
367,27.0,59.0,26.0,59.0,26.0,60.0,27.0,60.0,27.0,59.0,87.49915014434741,31708.0,1610567.625,Estonia,0.004742721836627969
368,28.0,59.0,27.0,59.0,27.0,60.0,28.0,60.0,28.0,59.0,86.89672553919671,15009.0,1281646.125,Estonia,0.0033459633702774276
369,29.0,59.0,28.0,59.0,28.0,60.0,29.0,60.0,29.0,59.0,88.78323941067758,118675.0,2415995.0,Russia,0.010092906365260005
370,30.0,59.0,29.0,59.0,29.0,60.0,30.0,60.0,30.0,59.0,87.17417052052035,112297.0,2052842.375,Russia,0.00905583173634971
371,31.0,59.0,30.0,59.0,30.0,60.0,31.0,60.0,31.0,59.0,84.3023525420554,172849.0,1233224.5,Russia,0.00985427284672476
372,32.0,59.0,31.0,59.0,31.0,60.0,32.0,60.0,32.0,59.0,91.02852978168244,12682.0,448380.6875,Russia,0.001481819730356658
373,33.0,59.0,32.0,59.0,32.0,60.0,33.0,60.0,33.0,59.0,84.59320324697882,3792.0,538523.6875,Russia,0.0013005815970283496
374,34.0,59.0,33.0,59.0,33.0,60.0,34.0,60.0,34.0,59.0,82.44207186929525,29194.0,2872061.0,Russia,0.0073120019024918576
375,35.0,59.0,34.0,59.0,34.0,60.0,35.0,60.0,35.0,59.0,81.45715412282651,41214.0,3927857.5,Russia,0.010053904595291646
376,36.0,59.0,35.0,59.0,35.0,60.0,36.0,60.0,36.0,59.0,82.24326872090968,24553.0,3712843.75,Russia,0.00890021487289367
377,37.0,59.0,36.0,59.0,36.0,60.0,37.0,60.0,37.0,59.0,84.55866115878814,33163.0,3451843.25,Russia,0.008707443178099666
378,38.0,59.0,37.0,59.0,37.0,60.0,38.0,60.0,38.0,59.0,86.32484865540104,81527.0,3059574.0,Russia,0.009901482565215832
379,39.0,59.0,38.0,59.0,38.0,60.0,39.0,60.0,39.0,59.0,83.52926300087341,18694.0,1058354.375,Russia,0.0030268744216979614
381,41.0,59.0,40.0,59.0,40.0,60.0,41.0,60.0,41.0,59.0,89.16763668863365,363.0,154004.78125,Russia,0.0003417352112284732
382,42.0,59.0,41.0,59.0,41.0,60.0,42.0,60.0,42.0,59.0,89.72965577736838,675.0,161347.25,Russia,0.0003703630537082345
383,43.0,59.0,42.0,59.0,42.0,60.0,43.0,60.0,43.0,59.0,86.08551587550417,1561.0,388723.875,Russia,0.0008895515379736495
384,44.0,59.0,43.0,59.0,43.0,60.0,44.0,60.0,44.0,59.0,84.65159501346518,6161.0,1784044.5,Russia,0.004040501032064224
385,45.0,59.0,44.0,59.0,44.0,60.0,45.0,60.0,45.0,59.0,82.66691618968348,10360.0,2073623.0,Russia,0.004830329399923901
386,46.0,59.0,45.0,59.0,45.0,60.0,46.0,60.0,46.0,59.0,93.03767727627586,334.0,116363.65625,Russia,0.00026071986741797926
387,47.0,59.0,46.0,59.0,46.0,60.0,47.0,60.0,47.0,59.0,82.92040259403784,9860.0,1704061.5,Russia,0.00402587417897532
388,48.0,59.0,47.0,59.0,47.0,60.0,48.0,60.0,48.0,59.0,83.21259184928887,14904.0,3096785.0,Russia,0.007189917656353331
389,49.0,59.0,48.0,59.0,48.0,60.0,49.0,60.0,49.0,59.0,83.36564202506864,11588.0,1954195.5,Russia,0.004628550808866182
390,50.0,59.0,49.0,59.0,49.0,60.0,50.0,60.0,50.0,59.0,81.8014352465947,13529.0,2349700.75,Russia,0.005548396052895102
391,51.0,59.0,50.0,59.0,50.0,60.0,51.0,60.0,51.0,59.0,85.33626426911343,12728.0,3460555.75,Russia,0.007870024108567693
392,52.0,59.0,51.0,59.0,51.0,60.0,52.0,60.0,52.0,59.0,85.0052497969964,15407.0,3564899.75,Russia,0.008203459368506657
393,53.0,59.0,52.0,59.0,52.0,60.0,53.0,60.0,53.0,59.0,84.17591727930143,26702.0,3556836.5,Russia,0.00865943059442863
394,54.0,59.0,53.0,59.0,53.0,60.0,54.0,60.0,54.0,59.0,86.21372688024975,25778.0,3650585.5,Russia,0.008819516385325842
395,55.0,59.0,54.0,59.0,54.0,60.0,55.0,60.0,55.0,59.0,91.44824285835979,24681.0,3606830.75,Russia,0.008680806699121387
396,56.0,59.0,55.0,59.0,55.0,60.0,56.0,60.0,56.0,59.0,88.69563875672918,24171.0,3390363.5,Russia,0.008200507550553527
397,57.0,59.0,56.0,59.0,56.0,60.0,57.0,60.0,57.0,59.0,83.07197799946812,27133.0,3551550.5,Russia,0.008666281628972873
398,58.0,59.0,57.0,59.0,57.0,60.0,58.0,60.0,58.0,59.0,83.77290619533541,57086.0,3497893.75,Russia,0.009807100700842068
