,2015,SSP1,SSP3,SSP5,lat1,long1,lat2,long2,lat3,long3,lat4,long4,lat5,long5
27904,2007870.125,-50.309230035483495,114.91639057082938,-50.51672913854426,5.0,12.0,4.0,12.0,4.0,13.0,5.0,13.0,5.0,12.0
27905,1849825.0,21.578811509196814,160.49347911288905,21.023569797142972,6.0,12.0,5.0,12.0,5.0,13.0,6.0,13.0,6.0,12.0
27906,2271754.75,18.206388695786814,193.82918644717262,17.655768079718992,7.0,12.0,6.0,12.0,6.0,13.0,7.0,13.0,7.0,12.0
27907,3139180.0,-83.5169494899942,68.3289903732822,-83.60520502169356,8.0,12.0,7.0,12.0,7.0,13.0,8.0,13.0,8.0,12.0
27908,4156200.0,-100.0,-44.722468841730425,-100.0,9.0,12.0,8.0,12.0,8.0,13.0,9.0,13.0,9.0,12.0
27909,2270348.0,-86.68498590304218,29.66520991495577,-86.79019003914819,10.0,12.0,9.0,12.0,9.0,13.0,10.0,13.0,10.0,12.0
27910,1970566.375,18.58296323563321,173.1531943449507,18.06825080936439,11.0,12.0,10.0,12.0,10.0,13.0,11.0,13.0,11.0,12.0
27911,689146.8125,109.50751694871984,195.345140989098,108.99614187796885,12.0,12.0,11.0,12.0,11.0,13.0,12.0,13.0,12.0,12.0
27912,731135.0,109.59203840603992,195.49638575639247,109.16246657594014,13.0,12.0,12.0,12.0,12.0,13.0,13.0,13.0,13.0,12.0
27913,877110.0625,104.10973223785128,186.48639520083034,103.57916883435595,14.0,12.0,13.0,12.0,13.0,13.0,14.0,13.0,14.0,12.0
27914,1395564.375,-1.4293948281676365,138.0658900095526,-2.597721441549409,15.0,12.0,14.0,12.0,14.0,13.0,15.0,13.0,15.0,12.0
27915,843081.1875,-13.446584585307212,155.6316084327288,-16.77024135946575,16.0,12.0,15.0,12.0,15.0,13.0,16.0,13.0,16.0,12.0
27916,263047.84375,23.739455191789613,161.34815541516866,14.549503886590973,17.0,12.0,16.0,12.0,16.0,13.0,17.0,13.0,17.0,12.0
27917,228651.40625,59.06652389110334,159.75791478430935,54.693655530491625,18.0,12.0,17.0,12.0,17.0,13.0,18.0,13.0,18.0,12.0
27918,255371.359375,91.3688686335286,147.273716028869,86.18305070061265,19.0,12.0,18.0,12.0,18.0,13.0,19.0,13.0,19.0,12.0
27919,171279.1875,101.53305987629116,160.96493772776682,95.96061547174259,20.0,12.0,19.0,12.0,19.0,13.0,20.0,13.0,20.0,12.0
27920,140574.6875,101.89952405193858,161.32851975929165,96.13537287785185,21.0,12.0,20.0,12.0,20.0,13.0,21.0,13.0,21.0,12.0
27921,307578.375,97.44802849029942,158.44717626848765,91.78376080568083,22.0,12.0,21.0,12.0,21.0,13.0,22.0,13.0,22.0,12.0
27922,611295.0,-58.767416918181894,116.78220008342944,-59.91870230412485,23.0,12.0,22.0,12.0,22.0,13.0,23.0,13.0,23.0,12.0
27923,1091254.875,-99.89768742459943,119.25883721710751,-99.8968569586645,24.0,12.0,23.0,12.0,23.0,13.0,24.0,13.0,24.0,12.0
27924,628577.25,-96.91372833450463,119.3679257402332,-96.88849121915803,25.0,12.0,24.0,12.0,24.0,13.0,25.0,13.0,25.0,12.0
27925,153153.5,38.626912705227106,119.05480041265788,39.80470369596516,26.0,12.0,25.0,12.0,25.0,13.0,26.0,13.0,26.0,12.0
